"filename", "language", "JSON", "JSON with Comments", "JavaScript", "SCSS", "TypeScript", "HTML", "PostCSS", "comment", "blank", "total"
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_cdk_bidi.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 1, 20
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_cdk_scrolling.js", "JavaScript", 0, 0, 52, 0, 0, 0, 0, 0, 1, 53
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_cdk_text-field.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 1, 22
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_common.js", "JavaScript", 0, 0, 205, 0, 0, 0, 0, 0, 1, 206
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_common_http.js", "JavaScript", 0, 0, 89, 0, 0, 0, 0, 0, 1, 90
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_core.js", "JavaScript", 0, 0, 1020, 0, 0, 0, 0, 0, 1, 1021
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_forms.js", "JavaScript", 0, 0, 137, 0, 0, 0, 0, 0, 1, 138
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_badge.js", "JavaScript", 0, 0, 338, 0, 0, 0, 0, 37, 2, 377
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_button-toggle.js", "JavaScript", 0, 0, 903, 0, 0, 0, 0, 87, 2, 992
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_button.js", "JavaScript", 0, 0, 47, 0, 0, 0, 0, 0, 1, 48
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_card.js", "JavaScript", 0, 0, 467, 0, 0, 0, 0, 5, 2, 474
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_checkbox.js", "JavaScript", 0, 0, 745, 0, 0, 0, 0, 81, 2, 828
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_chips.js", "JavaScript", 0, 0, 2515, 0, 0, 0, 0, 377, 2, 2894
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_core.js", "JavaScript", 0, 0, 524, 0, 0, 0, 0, 34, 3, 561
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_datepicker.js", "JavaScript", 0, 0, 5881, 0, 0, 0, 0, 361, 9, 6251
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_dialog.js", "JavaScript", 0, 0, 1608, 0, 0, 0, 0, 424, 4, 2036
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_divider.js", "JavaScript", 0, 0, 123, 0, 0, 0, 0, 4, 2, 129
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_expansion.js", "JavaScript", 0, 0, 1090, 0, 0, 0, 0, 113, 3, 1206
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_form-field.js", "JavaScript", 0, 0, 90, 0, 0, 0, 0, 12, 2, 104
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_icon.js", "JavaScript", 0, 0, 760, 0, 0, 0, 0, 220, 3, 983
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_input.js", "JavaScript", 0, 0, 539, 0, 0, 0, 0, 101, 2, 642
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_progress-bar.js", "JavaScript", 0, 0, 303, 0, 0, 0, 0, 33, 2, 338
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_progress-spinner.js", "JavaScript", 0, 0, 314, 0, 0, 0, 0, 29, 2, 345
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_radio.js", "JavaScript", 0, 0, 817, 0, 0, 0, 0, 123, 2, 942
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_select.js", "JavaScript", 0, 0, 1471, 0, 0, 0, 0, 252, 3, 1726
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_table.js", "JavaScript", 0, 0, 3312, 0, 0, 0, 0, 621, 3, 3936
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_tabs.js", "JavaScript", 0, 0, 2737, 0, 0, 0, 0, 378, 2, 3117
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_material_tooltip.js", "JavaScript", 0, 0, 1004, 0, 0, 0, 0, 109, 3, 1116
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_platform-browser.js", "JavaScript", 0, 0, 87, 0, 0, 0, 0, 0, 1, 88
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_platform-browser_animations.js", "JavaScript", 0, 0, 4367, 0, 0, 0, 0, 84, 5, 4456
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@angular_router.js", "JavaScript", 0, 0, 5339, 0, 0, 0, 0, 654, 4, 5997
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@ngrx_store.js", "JavaScript", 0, 0, 1359, 0, 0, 0, 0, 41, 3, 1403
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@tiptap_core.js", "JavaScript", 0, 0, 254, 0, 0, 0, 0, 0, 1, 255
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@tiptap_extension-bold.js", "JavaScript", 0, 0, 126, 0, 0, 0, 0, 3, 3, 132
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@tiptap_extension-bullet-list.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 2, 2, 14
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@tiptap_extension-document.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 2, 2, 24
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@tiptap_extension-hard-break.js", "JavaScript", 0, 0, 89, 0, 0, 0, 0, 2, 2, 93
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@tiptap_extension-heading.js", "JavaScript", 0, 0, 101, 0, 0, 0, 0, 2, 2, 105
"d:\CMS\CMS-15\frontend\.angular\cache\19.2.24\frontend\vite\deps\@tiptap_extension-history.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 2, 2, 14
